Number,Bin,Qmean,Qstd,dQmean,dQstd,n
410730,1,5.266746153846154,1.231530769230769,1.4036676923050004,0.45127384615499944,2
410730,2,3.2052730769230777,0.0719423076923078,0.561932307695,0.0016615384649996676,2
410730,3,2.8777846153846154,0.08304280531625177,0.32876307692333334,0.06653386833477141,3
410730,4,2.712546153846154,0.06127650213584272,0.36337846154000003,0.08348196032248824,4
410730,5,2.6916096153846154,0.15299530498317102,0.7043261538475001,0.3247108556942271,4
410730,6,2.3339102564102565,0.040783229414140545,0.26584615384666677,0.11054214260732925,3
410730,7,2.321501923076923,0.09491696627543962,0.3655384615399998,0.16746439456327422,4
410730,8,2.0898846153846153,0.034423510096114274,0.1459938461533335,0.061277314199484303,3
410730,9,2.086894230769231,0.02460220628305697,0.30605538461250004,0.03504809179667798,4
410730,10,1.9469884615384618,0.050511538461538545,0.22995692307000015,0.11364923077000023,2
410730,11,1.8813025641025642,0.027092851278539415,0.17147076922999985,0.029959340020099156,3
410730,12,1.8927153846153846,0.034128869072121516,0.2616369230799999,0.08172907855494607,3
410730,13,1.8319025641025641,0.05973920744354501,0.22641230769333337,0.11130428314074194,3
410730,14,1.7348476923076923,0.019825862077110037,0.16602092307600014,0.04317975004843426,5
410730,15,1.696320512820513,0.024582283165480768,0.1466584615399998,0.05962472177274526,3
410730,16,1.6233230769230773,0.05349999999999999,0.12960000000000033,0.04718769231000016,2
410730,17,1.5728123076923077,0.01725930717102137,0.12002953846399994,0.031231690560391663,5
410730,18,1.5902025641025643,0.034798291784383734,0.21666461538333337,0.05950565965658914,3
410730,19,1.5012564102564103,0.01432736635578795,0.13026461538333317,0.021452428438486097,6
410730,20,1.4137211538461538,0.016378980424722772,0.11614153846500005,0.016016116142636483,4
410730,21,1.3439184615384616,0.019707859984474534,0.08693169230899983,0.04050445315192887,10
410730,22,1.263374125874126,0.010487888466665594,0.051235804198181904,0.022419670235888294,11
410730,23,1.2332500000000002,0.010554110550250259,0.09315692307833334,0.015129714545753478,6
410730,24,1.185056043956044,0.01275122154649612,0.05573274725142853,0.027182157370014275,7
410730,25,1.169989230769231,0.01065621595415269,0.07576615384400008,0.021653613935123925,5
410730,26,1.1523586538461539,0.006124430716466886,0.0907200000000001,0.012166403972628484,8
410730,27,1.1399820512820513,0.024373887688506696,0.11132307692499997,0.05264904769275895,6
410730,28,1.1358307692307692,0.03156923076923068,0.1296,0.06380307692000002,2
410730,29,1.1032589743589745,0.018672128145815495,0.07665230768999998,0.03480058273681947,3
410730,30,1.0620846153846155,0.004914969723234519,0.05600895104727273,0.006126855290459243,11
410730,31,1.0590666666666666,0.01985260148361729,0.09725538461666672,0.034596903373311866,3
410730,32,1.005474358974359,0.004407935457092702,0.035091692309133296,0.005250521630091753,15
410730,33,0.9909410256410257,0.01203981374672732,0.056935384613833295,0.02453722236521166,6
410730,34,0.9859557692307692,0.01130616262765224,0.07643076922924999,0.024344042926696015,4
410730,35,0.9500675213675215,0.007223615161783745,0.05590153846077773,0.01690907616595236,9
410730,36,0.9201222222222223,0.004152763083801527,0.05036307692288888,0.008117032716423328,9
410730,37,0.9467442307692309,0.027384683696075884,0.14255999999975003,0.05715466900738667,4
410730,38,0.8795628205128205,0.005010194451616617,0.05926153846099996,0.013339761448153404,12
410730,39,0.8492126373626374,0.016423329516095903,0.07334505494528573,0.03525702559840139,14
410730,40,0.8125868131868133,0.009732177823642534,0.05421362637371424,0.0217018172682559,7
410730,41,0.8170800000000001,0.017403043602405268,0.10235076923100006,0.03841051453691333,5
410730,42,0.7883285714285715,0.017526693300854854,0.0831718681322857,0.035026233224660745,7
410730,43,0.761898076923077,0.008329963840487283,0.057655384615500085,0.01841311495567469,4
410730,44,0.7390043956043957,0.00458198902608603,0.03788307692314291,0.007115391291833692,7
410730,45,0.7202065934065934,0.005249752353260011,0.03560439560428572,0.012222985112155665,7
410730,46,0.7069846153846154,0.011761412624471479,0.057156923077,0.024577293604981277,16
410730,47,0.6856169230769231,0.0056454177889536375,0.05130830769219996,0.008447154341886991,5
410730,48,0.6705969230769231,0.009303511012502944,0.048649846153599983,0.020008565985717635,5
410730,49,0.6597134615384616,0.011229272544721194,0.050344615385,0.02344025849565481,4
410730,50,0.6469763313609468,0.01364646033150647,0.05327147928999997,0.026633866985492808,13
410730,51,0.6873230769230769,0.030682107745397792,0.151753846154,0.06043047845782366,3
410730,52,0.6334897435897436,0.009291132050495794,0.05073230769233331,0.0188072975886871,3
410730,53,0.6365346153846154,0.01611923076923072,0.06679384615350001,0.03289846153850003,2
410730,54,0.6276179487179487,0.011499498602681938,0.05449846153866669,0.024929722191169502,3
410730,55,0.6157666666666667,0.009284327883439173,0.036110769230999935,0.017408751115271792,3
410730,56,0.618175,0.01086200849522297,0.05200615384625002,0.024385400229982132,4
410730,57,0.5988861538461538,0.010006015764493368,0.035490461538600075,0.01726542343786173,5
410730,58,0.5972989010989012,0.004050548605852377,0.04899164835171428,0.009004442714539127,7
410730,59,0.5756355311355312,0.008652965644683173,0.037313406593380935,0.01752717602366832,21
410730,60,0.5695076923076924,0.008491744685908253,0.05861907692280006,0.018205367058525795,5
410730,61,0.5557019230769231,0.006747299390357316,0.04369846153825,0.012611284887372221,4
410730,62,0.5458141025641026,0.004984483781369177,0.037329230769333324,0.010272435316815749,6
410730,63,0.5557846153846155,0.012792307692307712,0.06347076923049991,0.02492307692249997,2
410730,64,0.542325,0.007965586964583044,0.04718769230800005,0.015055653442968109,4
410730,65,0.5244285714285715,0.0031138917936893076,0.025160439560428554,0.005617827575412176,7
