Number,GW,Soil,Snow,S
212209,169.59850156944515,298.0825332056062,0,467.68103477505133
215207,64.43849623452994,178.04135989828342,0,242.47985613281335
216002,64.08229546600276,128.348036100008,0,192.43033156601075
218001,148.84257131883263,137.62978963387374,0,286.47236095270637
219001,161.66964081159813,65.07415525721316,0,226.7437960688113
221207,93.34335409739845,398.01994396982593,0,491.3632980672244
221210,17.543989366313458,274.83105161804116,0,292.3750409843546
222206,431.9264928402791,274.8266711362823,0,706.7531639765614
222213,32.193340667676054,410.616118380024,23.734894906569057,466.54435395426907
223202,280.0342635737091,387.7834149734015,0,667.8176785471105
224206,45.970541073644384,371.5944564095218,0,417.56499748316617
225110A,862.9407354915072,370.72475038391804,0,1233.6654858754252
225219,76.83409044017306,307.6236224459287,10.115036722691261,394.572749608793
226220,1042.076950258348,519.9882915209839,0,1562.065241779332
226222,663.8356057412846,442.66914720941793,0,1106.5047529507024
226407,30.85131194891687,278.8962720712934,0,309.7475840202103
227226,489.7748319093215,216.31334381597932,0,706.0881757253009
229661A,569.915456959218,516.5588789485984,0,1086.4743359078163
230210,58.491783398426456,403.73258955820404,0,462.2243729566305
231213,16.891978086837973,524.5398176442151,0,541.4317957310531
235205,110.86527192022899,351.9668252636898,0,462.8320971839188
236213,10.185524583586703,373.45439839427763,0,383.63992297786433
238208,285.16535214503017,511.2302897979085,0,796.3956419429387
302214,46.190912531057336,66.20160457681037,0,112.3925171078677
304499,50.081514968530996,347.2427283814549,25.15820338073065,422.48244673071656
305202,636.2343325552664,82.59760308521015,0,718.8319356404766
314207,77.42329120321396,495.94541032499757,0,573.3687015282115
314213,24.90928877879215,297.03364657114696,0,321.9429353499391
318076,63.856761141765844,469.3986566517774,0.06875171775649008,533.3241695112997
401203,869.8120996789751,492.64344564953666,6.094640431662122,1368.550185760174
401208,428.04620172482436,470.48367653072563,0,898.52987825555
401210,371.0416003820759,518.7527093342311,0,889.794309716307
401212,203.85746848238188,324.88471033628144,9.391820843618065,538.1339996622814
401216,1138.865052142204,495.66320891043677,79.46051394297982,1713.9887749956206
401217,608.8127859860994,410.39751522169496,0,1019.2103012077944
402204,375.9539269383242,481.38078473433546,0,857.3347116726596
402206,550.9376182316721,530.2550385400966,0,1081.1926567717687
402213,34.369249649423665,474.6471036262601,0,509.01635327568374
403214,572.0729343974856,518.6221217775408,0,1090.6950561750264
403217,622.2418620174496,432.22269903734406,0,1054.4645610547936
403221,21.945044842162524,454.1476539202042,0,476.09269876236675
403222,93.60980026061439,492.2378909395892,0,585.8476912002036
403226,64.1556963886643,446.1086205978645,0,510.2643169865288
403232,835.3433651526093,532.5613088002075,0,1367.9046739528167
404207,32.39793747406783,514.002558703669,0,546.4004961777368
405205,480.4051743406787,459.88115731262,0,940.2863316532987
405209,97.63389646055481,484.2589905076433,0,581.8928869681981
405215,90.80168121472688,236.90339472314093,0,327.70507593786783
405217,39.560931545639235,421.0679771714745,0,460.62890871711375
405218,82.35584895851855,174.07532393474372,0,256.43117289326227
405219,74.03792411129325,309.3449838043136,0,383.38290791560684
405226,25.491415690215007,260.79490195994947,0,286.2863176501645
405227,698.1455195817986,409.96113030717845,0,1108.106649888977
405238,27.76119870066101,306.5275509067631,0,334.2887496074241
405245,25.360502505202977,393.6736743447551,0,419.0341768499581
405248,14.616515379340122,311.8597724711857,0,326.4762878505258
405251,361.13785176730784,481.5347636195252,0,842.6726153868331
405264,793.077841794244,424.38669684704934,0,1217.4645386412933
405274,22.01204794555347,266.2167643310149,0,288.22881227656836
406208,124.41767850064726,527.916347217794,0,652.3340257184414
406213,11.505952532273422,380.0784049737044,0,391.5843575059778
406214,17.867674307497662,336.309297886721,0,354.1769721942187
407214,15.03466052335009,344.3886941394145,0,359.4233546627646
407215,8.947332602760806,406.7970416546247,0,415.7443742573855
407230,22.82494411399612,319.3969534675369,0,342.221897581533
407253,189.8931261692728,62.78186707403028,0,252.67499324330308
408202,16.677132421297465,276.02710004814065,0,292.7042324694381
410061,250.33872624429586,438.9840277356019,0,689.3227539798977
410730,77.12216093022539,468.9418069959426,10.591794377930233,556.6557623040983
410731,22.388851371294415,433.592361053435,0.05953760201887575,456.0407500267483
410734,22.9452243684923,365.5391553735474,0.47153401650949167,388.9559137585492
412066,13.701232681860422,257.728769323742,0,271.4300020056024
415207,13.026426790974668,332.34750429937264,0,345.3739310903473
415237,204.1762673203375,97.0288517080567,0,301.2051190283942
416003,16.532498946377178,176.81540080263497,0,193.34789974901216
