Number,a,b,n,r2,Qmin,Qavg,Qmax,S,Smin,Smax
212209,-2.6699005848876434,1.041307869224982,1125,0.85,0.07297984242296414,1.5107791872037541,38.120762099683105,492.734579804801,-21.144159198221903,471.5904192414539
405264,-2.8902976908562397,1.1000683657369368,171,0.92,0.2025202640182138,1.2211372306254076,6.817655172413104,107.77179380702148,-19.187124351647906,88.5846694540418
401210,-2.5549465453729376,0.9419275724207078,804,0.83,0.282120693802769,1.1737795092151395,7.3870627524824135,97.73429789625338,-11.222942305424928,86.5113556059643
235205,-2.8569090160523674,1.693797927547567,281,0.96,0.33633103448275864,2.2538264887184574,17.16215172413793,95.03455972078201,-32.18982823044385,62.84473148233415
405219,-2.7599707966489104,1.5257273012920545,198,0.98,0.09387252903108276,1.1589149296083237,11.089995567768275,93.43127131551648,-24.879315554122044,68.55195575404204
401216,-2.9313663437109745,1.804349452903696,520,0.97,0.28236647595482756,1.6130402324149706,11.848678830986552,80.63235248821667,-30.407562729748417,50.22478975674869
405218,-2.5518772580911593,1.524850084522013,368,0.98,0.11518854740665863,1.3643248653449234,11.85490655002,77.76674540570123,-21.628970882266756,56.13777452193324
225110A,-2.4822574332650746,1.225493220515934,201,0.94,0.0574887363282638,0.8452946673591444,7.4897065441517245,71.80791717387848,-11.875069700050382,59.932847472940395
304499,-1.884627957484603,1.3066064817805494,117,0.89,0.35507109064000003,2.049911499152549,19.564438619091725,70.01346155433413,-10.987983537116696,59.025478016388
401212,-2.967226390435058,1.825105484935796,425,0.94,0.303863603969069,1.315876569602137,7.615939038436035,68.27980537381998,-26.367207940333564,41.912597422838274
221207,-2.5480941616930615,1.4497058322512772,671,0.92,0.29598475134289653,0.8554120827499908,9.37983087853069,67.73292543759203,-9.42899343397448,58.30393199229824
405227,-2.7309733456966003,1.411195346868492,147,0.97,0.1587508099515931,1.0702660579868775,6.080411702906172,66.63023614888778,-18.309718437828135,48.320517667770496
314207,-2.3301155621258283,1.6953218599799431,82,0.95,0.21026424580613792,2.41504433435307,21.781909183197588,65.28024270174487,-23.15648446347013,42.123758233722754
405215,-2.4384082013317916,1.3032152839276125,330,0.89,0.10598060114328965,1.0908448890681508,7.640369684676793,64.35895128499894,-14.02534229705418,50.33360898021864
403222,-2.219818655849733,1.2998834620600987,274,0.96,0.0475684586622279,0.9213038011130938,8.608096252593862,57.79204708486937,-10.856423509836834,46.93562355556398
403217,-2.1803056109111507,1.277092742182649,279,0.99,0.02241977656286411,0.7363355271092029,8.58535393391875,57.134463575210816,-9.025068046490347,48.1093955120172
403232,-2.3521146108883046,1.4800396767034618,454,0.96,0.056081135902608624,0.8099695561399671,8.203618661251516,55.846922388656054,-13.592918390445336,42.254003978649436
225219,-2.284952850187288,1.4167793331875287,288,0.92,0.04271528751754035,0.8580228834462801,8.360339701118862,55.44771722669854,-12.729068433981485,42.71864879252261
229661A,-2.6434694092931155,1.3495779603671547,220,0.95,0.1323469788041724,0.7175180737758592,4.372206263840655,50.63621122992504,-11.619059072808286,39.01715215093344
405209,-2.371077910941923,1.4418071304922369,290,0.96,0.2405743400940276,1.1642627823489349,7.1727961605486215,48.962449484048435,-12.223602012164521,36.73884746729013
401217,-2.4379435457181597,1.4198117390833975,486,0.92,0.10686689902868345,0.7286883493591683,5.331047079846414,46.71586197105554,-11.03130876484454,35.68455320567617
402206,-2.46774195260839,1.1012900346950625,771,0.84,0.07786675280632448,0.5606271920657154,4.224713235888759,46.5964693309329,-6.478985743108434,40.11748356724547
218001,-1.8632875465930605,1.7416612225575265,1126,0.98,0.04044150110375526,0.6340068317019225,22.16907726269311,44.657886703349654,-11.284616925006434,33.37326994421817
318076,-1.84657886658825,1.4514483717706863,168,0.88,0.13542605000815172,1.0313632504396701,13.370710246764828,44.05898553156729,-7.892990676104235,36.16599485607302
314213,-1.7809593009696278,1.6212963816571215,122,0.97,0.047238672657405,1.4580878318437125,20.06341484327931,43.86326420932876,-13.146494395824579,30.71676982109605
