"Number","Message","tt","cfmax","sfcf","cwh","cfr","fc","lp","beta","k0","k1","k2","uzl","perc","maxbas","R2V"
"410730","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.407452081117711","3.51433888939036","0.400009657624539","0.178670846082694","0.064311202321034","549.998322173575","0.649645017904555","2.15895732223371","0.459938349945935","0.174242930239822","0.0669485157488187","33.5573275390004","2.99895191400205","1.80625934229704","0.825953182851884"
"410731","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.71022978465615","6.98371154547637","0.400817506330301","0.112358924066595","0.0295839311512546","549.946677873791","0.585587388289294","3.43419025718634","0.318707923378386","0.399999300262873","0.149964653999859","78.7490146532033","1.10096529081069","1.69415111166945","0.540048601170585"
"410734","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.0792256758032144","9.99940743252751","0.634517319678573","0.0876621220216016","0.0854164860234461","462.351488031363","0.460027584218391","2.14780031815739","0.347729716877189","0.399999998249612","0.118638396134585","10.0000223843458","0.590292558112512","2.07936301846539","0.692739906191162"
"212209","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.27448774132859","9.99996702333827","0.974786244475072","0.000408611975368383","0.0263470579310397","330.773271400798","0.72288579592072","1.00941616526939","0.499891288408721","0.08126989674393","0.0450402971476954","56.984608785766","0.874800135939883","1.01110799255231","0.699079774924126"
"215207","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.52490981133301","6.69542138593016","0.999551668725102","0.186540061784628","0.0532041511193805","180.11277668958","0.961472506712253","5.6365989970392","0.499977247219482","0.363140014708609","0.00770296146595883","19.3391023355999","1.13268975431923","2.49659310225428","0.84161217074144"
"216002","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.337640282071897","9.99983420675399","0.962330440276601","0.19590485419201","0.0111705824282719","129.53276058312","0.909664284927546","5.09923107451337","0.499988790867957","0.39999842030156","0.0203924844123921","19.3862632624503","1.44420739273288","2.18269447139142","0.672530905849984"
"218001","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.72251749117468","1.00053401584373","0.673957202599754","0.029566344248345","0.0430312785829916","138.693933936201","0.999998112807842","4.47464236161714","0.358071335045508","0.227107167664824","0.0249783323139356","39.1235212721699","2.99670653199048","1.00069988145896","0.848144991307403"
"219001","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.04279789170608","1.00118150819079","0.701487284896955","0.101874098348089","0.0268803033078011","65.4120136082268","0.817646707768033","2.64855341984105","0.498604326555527","0.155906493150854","0.0167184517807225","41.4243711181851","2.99900473751633","1.00002992373128","0.715208794912869"
"410061","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.91147527448054","4.86073702157777","0.759937400156141","0.0789922618100225","0.0836368323804481","514.486486302704","0.558371032577897","2.05419573849868","0.499991890427921","0.210179191116369","0.00270379075862051","18.6314204756623","1.47882904945112","1.0752177982139","0.744044877812457"
"412066","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.499997910226688","6.35850524784455","0.999999087127116","0.0279938832803237","0.00179001303770406","266.678537924749","0.79816918162656","4.85139144933648","0.499999999700583","0.395011093482966","0.0713570345299898","10.0000001433309","0.303429004347397","2.24845464916068","0.8038937061166"
"416003","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.64580310484086","9.99998233705671","0.441567120392116","0.0350315710089589","0.00290587370784169","182.796498309906","0.945424549040949","5.99999280730418","0.49889494611148","0.395970113688612","0.0309252124507844","12.8786712074082","7.92759407795752e-06","1.86365938386038","0.760908489692882"
"318076","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.0874323648085151","7.33896851115919","0.46334524531827","0.0450440430547841","0.0932393464698321","549.999998424805","0.300022664694008","1.30334254807137","0.394993722106065","0.251426461877754","0.0938455846710975","20.9283435493791","2.99979242762938","2.3419323394935","0.793695737360303"
"304499","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.0532308770657859","8.04356857494342","0.999998799536552","0.0991576443280794","0.0876321426237608","405.232385276009","0.566751414176282","1.00007157279833","0.493353860906018","0.266021419587698","0.139359804766057","29.7010649409963","2.95989331326364","2.37161849914159","0.822822547567986"
"302214","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.878251199446169","3.26154818848756","0.423502128376852","0.13221019524504","0.0598174696057609","68.4059211615805","0.300141778950454","2.23858748510377","0.499999748312248","0.399936989306409","0.102408703137962","14.24645050267","2.99997273430233","1.98122317377348","0.652660686771952"
"305202","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.348550137747363","9.98072607398842","0.400000561202401","0.184643254372339","0.0112375221705415","82.8597708539818","0.696572188642003","5.99997206570331","0.499999356850599","0.353395544679501","0.00100515813478483","22.0569901981474","2.49014519783308","1.54996936340224","0.596106512024688"
"314207","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.99958965907584","3.79835518572676","0.869970209061059","0.0581100627669616","0.0553673117479818","545.527731419377","0.431289495684607","1.00023551154388","0.437261004137101","0.281726013375028","0.14988772900258","26.1523177051363","2.99970591473892","2.00504733735476","0.819531637061775"
"314213","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.37086875599186","3.11061929398441","0.639368367574073","6.70871827183767e-05","0.0229423231543108","312.371731511425","0.646707907113593","1.60192483886534","0.499977244656647","0.359038077737727","0.140279943360178","10.0004545971037","1.92330307210758","2.45021322978255","0.833180449818718"
