station_id,CI,Smax,Smin,Smean,sf,S
401203,LCI,1062.1428817824853,-132.1857796166842,477.1225380255431,0.8830697169764217,1194.3286613991695
401203,Mean,604.9241162808294,-559.9783306463578,29.678207672998187,0.9196516415610582,1164.9024469271872
401203,UCI,424.295658849293,-1134.503030569398,-401.64455284164814,0.9549155070889819,1558.798689418691
401208,LCI,1321.8429893378052,-349.7786545967592,289.7263202601777,1.0017075974309027,1671.6216439345644
401208,Mean,382.17158510290074,-1023.9293472175304,-295.62991547169975,1.0481173430898185,1406.1009323204312
401208,UCI,324.34780728966086,-1760.2352516849169,-851.7676695006371,1.0922105125826367,2084.583058974578
401210,LCI,471.5363643510209,-695.1784577192866,-122.74491454640844,0.8550344524970884,1166.7148220703075
401210,Mean,215.4729606598229,-880.9641669714474,-277.48235578564123,0.8673963477032754,1096.4371276312704
401210,UCI,210.72997097697606,-1058.8481016382757,-425.57107585569696,0.8792270799686106,1269.5780726152518
401212,LCI,442.8004654874039,-686.8695628495534,-78.61697251289465,0.6933171284662506,1129.6700283369573
401212,Mean,289.47103922907047,-800.1637680756685,-173.682746961441,0.7008944976403645,1089.6348073047388
401212,UCI,286.51154655892526,-909.7522516620593,-265.63903053295644,0.7082240198847555,1196.2637982209844
401216,LCI,746.4343902411711,-267.5503888950261,172.19513746017375,0.7923799179990183,1013.9847791361972
401216,Mean,437.0833398210728,-558.8432261033959,-71.85382553383955,0.8122502002384765,995.9265659244686
401216,UCI,429.01671012738444,-846.3646837091765,-306.8735196245692,0.8313853262235374,1275.3813938365608
401217,LCI,1062.2749294032255,-245.92705428239606,279.5024209404618,0.858594995021848,1308.2019836856216
401217,Mean,379.6939832346088,-784.3993872139399,-139.6771782713172,0.8919105647629578,1164.0933704485487
401217,UCI,280.0696065550551,-1325.4869319911122,-545.321598125477,0.9241503850813975,1605.5565385461673
401220,LCI,1291.6133402916275,-251.92911894581925,377.5590614239449,1.0348447256955158,1543.5424592374468
401220,Mean,310.49868134272083,-856.2074973700146,-194.74934707703991,1.0805153744061784,1166.7061787127354
401220,UCI,248.51570178054033,-1577.6256729141714,-738.6473753497661,1.1239188530458304,1826.1413746947119
402204,LCI,1102.4928861040244,-234.42688618985267,300.3482308916718,0.9565525932095791,1336.919772293877
402204,Mean,432.4894109924835,-942.2898584731229,-232.60211127806625,0.9988289383659065,1374.7792694656064
402204,UCI,283.0858068467568,-1610.8519152531408,-735.9627769353002,1.0387580791425277,1893.9377220998977
402206,LCI,1203.956360179407,-261.65127961494,333.80560380155157,1.0854785290359088,1465.607639794347
402206,Mean,542.3215919832501,-1011.2204464520546,-229.6306683815092,1.1306436488835638,1553.5420384353047
402206,UCI,373.67416846746437,-1772.8551926301589,-765.3726600357522,1.1735887918484167,2146.529361097623
403214,LCI,1271.0564302489656,-214.06572816039264,597.4278417446088,1.1219721217854894,1485.1221584093582
403214,Mean,800.2463909717035,-728.7890528477037,-1.3656212614439165,1.169963142487327,1529.0354438194072
403214,UCI,537.007672812495,-1720.0385206864776,-569.1874988307746,1.2154719083054843,2257.0461934989726
403217,LCI,786.0874306936894,-1056.6083054906212,-170.2746157400836,1.0991509935083998,1842.6957361843106
403217,Mean,264.6861081821465,-1474.0599575990564,-518.4437077565417,1.1275637892796826,1738.7460657812028
403217,UCI,253.659811006802,-1873.9903401206393,-850.6785592007714,1.1546762504333026,2127.6501511274414
403221,LCI,726.1203618265172,-617.6410653829917,-14.991641237956374,0.8087367554155586,1343.7614272095088
403221,Mean,198.9123617439427,-1085.4728763958992,-366.6260163613297,0.8365014696964148,1284.385238139842
403221,UCI,185.51509801849056,-1525.8382731175807,-697.615930807128,0.8626361170874963,1711.3533711360712
403226,LCI,887.5633708873866,-253.4282175406422,216.8668129727764,0.999815257067226,1140.9915884280288
403226,Mean,358.88665943217393,-719.0577510160947,-181.9293046993011,1.03237028284185,1077.9444104482686
403226,UCI,264.4194741643819,-1200.8063860174552,-560.079032003527,1.0632398765352844,1465.225860181837
403232,LCI,1136.0663264629402,-334.0808962553165,349.8069768946767,1.187124993987551,1470.1472227182567
403232,Mean,505.4461845223009,-940.9718203461962,-150.95969947435802,1.227515732036157,1446.418004868497
403232,UCI,387.2448508422508,-1575.137872309915,-628.5335414589521,1.2660357871051784,1962.382723152166
404207,LCI,1083.6294223137302,-260.8678524955865,267.38990186764096,0.9668659641334616,1344.4972748093167
404207,Mean,292.51275231112777,-798.8146458858664,-221.52034784823863,1.007647417373725,1091.3273981969942
404207,UCI,203.2587297847947,-1417.486564514098,-685.93687247309,1.0463857763956528,1620.7452942988928
405205,LCI,570.2975956699411,-272.07149597042826,113.55827461943268,0.9580453990237108,842.3690916403693
405205,Mean,529.3260474028939,-451.21358488973056,-52.262650466094904,0.9730243349373967,980.5396322926244
405205,UCI,489.6385762415266,-741.0724898689987,-212.88663126830753,0.9875338204766705,1230.7110661105253
405209,LCI,680.7814490118167,-567.3326109061272,16.89390342817214,0.9693041586787756,1248.114059917944
405209,Mean,670.0146090637686,-638.0725234905258,-27.116669530933585,0.9732794533592364,1308.0871325542944
405209,UCI,659.6046840344134,-706.4674462477997,-69.66831580912466,0.9771229691719416,1366.072130282213
405212,LCI,1060.5353352245802,-115.67424413528249,524.7158279028827,0.8578010666300494,1176.2095793598628
405212,Mean,470.1607226971619,-389.6658267947987,39.74882541695019,0.9022001268398837,859.8265494919606
405212,UCI,295.83143093736317,-1082.150190061282,-427.12854110840755,0.9449430685260441,1377.9816209986452
