station_id,a,a_std,b,b_std,n,r2,Qmin,Qavg,Qmax,S,Smin,Smax
422321B,-2.943253116454512,0.08364592846414552,1.0856829650422593,0.07309798814893653,1233,0.73,0.09550763858575724,0.5474111373030072,9.309967699696896,157.188529665884,-9.539802566123532,147.64872708716274
405264,-2.8724433433473604,0.05354670370545839,1.1614464066260486,0.05039787657797383,253,0.91,0.2025202640182138,1.2211372306254076,6.817655172413104,99.9136858713124,-19.403656053876514,80.5100298147289
401216,-3.001346126505805,0.044647436486897445,1.7035860610221498,0.028663088966783285,599,0.97,0.28236647595482756,1.6130402324149706,11.848678830986552,94.55267253342299,-31.541482351835718,63.011190180436316
405241,-3.1119446994454574,0.15189464149720755,1.7017710740364158,0.07934624629322393,277,0.89,0.5586818413454138,2.231804416750704,11.678808027368621,93.45505969548834,-32.38297249098991,61.07208720334691
405219,-2.601060988333385,0.05601240328464755,1.4562296617317605,0.02460097785704732,276,0.98,0.09387252903108276,1.1589149296083234,11.089995567768275,84.86222962642927,-20.00881531126396,64.85341431118721
401212,-2.831300703980894,0.05668859655406784,1.4670785433805926,0.050660858657315726,483,0.9,0.303863603969069,1.315876569602137,7.615939038436035,77.062908226694,-19.97846944505386,57.08443878001454
401210,-2.7774910390298744,0.041445485667108616,1.39688319064201,0.04412379249760724,633,0.9,0.282120693802769,1.1737795092151395,7.3870627524824135,76.62289942330372,-16.936239542638184,59.686659879108284
422319B,-1.5299384895675328,0.26775909146428056,1.1125439397033625,0.08379241010137602,591,0.73,9.393342592592592e-4,0.22752141046308264,18.011203132259258,67.68093711793368,-1.3878540526112455,66.29322321078448
406250,-2.0397710164256506,0.03933479830755488,1.0798149173497085,0.02686723480118045,378,0.96,0.013458423085822412,0.5840403978424986,9.715058836097965,67.54607247535145,-4.9355295671734165,62.61054285300436
410088,-2.4270615850342017,0.03228273070820561,1.5575651351366058,0.03815767034849979,550,0.93,0.16988751562274446,0.9116805793246288,12.295558950143407,66.00337778471052,-12.887740297470533,53.1156374913462
405209,-2.5402633000125756,0.06068150828487775,1.3133240411129563,0.046970609353389925,329,0.91,0.2405743400940276,1.1642627823489349,7.172796160548621,64.51438422862878,-13.559738786387406,50.95464543983114
405231,-2.6021096341275753,0.06857915716007813,1.2249254911802157,0.0581192393048382,177,0.91,0.07214764145315379,0.4755975832452344,5.617178361615862,64.05533161264793,-7.516629199965384,56.53870240591967
405227,-2.6330451560645196,0.04421297239618556,1.326533149092888,0.03774304768300207,274,0.95,0.1587508099515931,1.0702660579868775,6.080411702906172,63.704431552969695,-15.647428314902157,48.05700321577804
403232,-2.3832914256393427,0.039411561706188404,1.3771269358096814,0.028617709568078343,338,0.97,0.056081135902608624,0.8099695561399671,8.203618661251518,61.66667167093563,-12.370119518260372,49.2965521431587
405215,-2.4495273812223677,0.03275026667806976,1.4547480827669903,0.020423382004220947,357,0.98,0.10598060114328965,1.0908448890681508,7.640369684676793,58.1304758078945,-16.02684820274479,42.103627582399156
402206,-2.728401800480306,0.038217638804166544,1.204944236767524,0.033594954535348866,678,0.93,0.07786675280632449,0.5606271920657154,4.224713235888759,58.014822226064254,-9.62400588280359,48.3908162550418
410730,-2.4762941286746822,0.03310590400698647,1.439551306259332,0.03267033715659932,704,0.95,0.1200891246684431,0.7458034071135674,6.727580689655172,55.31256931936685,-11.538521685185623,43.774047632007296
403217,-2.1717500844867526,0.029142657472101204,1.34006461085948,0.02892281005551859,297,0.97,0.02241977656286411,0.7363355271092029,8.58535393391875,53.85672136010037,-9.778733384379159,44.07798794631066
405214,-2.108511203013783,0.03257611494046221,1.5272978135741475,0.03659940557028494,442,0.95,0.07090063451054517,0.6980448888038446,10.471997044026137,47.89386116182489,-9.713587606461136,38.18027353495677
405205,-2.629298371622838,0.053041457375001065,1.263654802922754,0.09906657411531772,354,0.68,0.492599960862069,1.1795176066106627,4.682276253206896,47.50245607703633,-10.083808838649338,37.41864723837571
401217,-2.444991220504336,0.03922025361618962,1.4381372725089927,0.039058454052019,522,0.94,0.10686689902868345,0.7286883493591683,5.331047079846414,46.70949809556237,-11.336457254796517,35.37304084015538
422394A,-2.0012065798290655,0.11780881459557213,1.1222075751363205,0.05453874872440405,905,0.84,0.008119618631604377,0.20371059940261932,6.331841908525172,42.46583769934384,-1.9621149152099577,40.50372267976356
403226,-2.077283638072944,0.051201938093507225,1.45106191927372,0.03407959867186773,387,0.97,0.01797480595498,0.5992118644974793,6.347030410993965,38.50272861775629,-9.37671614367535,29.12601244331233
405217,-2.0770573355448643,0.04645746901697204,1.3063199829696945,0.046175897336168906,313,0.91,0.08502518790520051,0.5755947154721893,5.3774981926651035,34.87459903080109,-5.761853629048487,29.112745400315955
401220,-2.1749599860511206,0.03973978572430979,1.1937793941028636,0.03030800258999854,590,0.94,0.03618319769257631,0.39908127032927193,4.3188095456781035,34.759443240445606,-4.454240316479076,30.305202872265802
401208,-2.1846512276384664,0.04785138486390548,1.3993170194464934,0.04941602117301057,539,0.88,0.13942765102779311,0.543973368766895,4.911814415777482,33.95987127391421,-5.73300757849583,28.226863685180586
405238,-1.8444418854248221,0.07682785860972255,1.1070075431450932,0.04468492955514397,287,0.91,0.005020631785714284,0.2862985762548007,5.678297206071429,33.33332509506642,-2.255413051108884,31.077912040814827
401203,-2.1938438292734963,0.06231493050890993,1.7349766525080181,0.08187902923639334,263,0.9,0.1111465165376649,0.6944186990094298,5.135024766747985,33.30829455846089,-11.819380939321338,21.488913617816625
403214,-1.9125200831773244,0.05468761975212854,1.3315336452453643,0.053129588019923034,472,0.88,0.03255652173915793,0.42838941129068314,5.777336131934,31.68568707010388,-4.720359234305082,26.965327821078063
402204,-1.7740419726630354,0.06268074266544592,1.3442150663748333,0.053882031082989335,614,0.84,0.04250314969228476,0.4042334531076111,6.010299821578656,28.006586206254415,-3.8298314811921323,24.176754723739823
403221,-1.655282569777286,0.04325781338153185,1.261770182195103,0.03327071528478243,564,0.93,0.014410873395420139,0.36528515500766534,6.313818273351621,27.326801966977694,-3.0613888809834573,24.26541307157444
404207,-1.451236193949044,0.051012087565632656,1.2739047876853506,0.03379899339777537,458,0.94,0.010494088669951102,0.38431879175052264,8.242774137929997,26.97617651592822,-2.720809744982962,24.255366784608114
