station_id,Bin,Qmean,Qstd,dQmean,dQstd,n
410730,1,3.7414523076924997,0.46423384615250013,0.6327138461549995,0.06911999999500051,2
410730,2,3.047095384615,0.12212307692499991,0.5572799999999993,0.12262153846,2
410730,3,2.67984,0.07691812513239903,0.2589784615399999,0.07594311318482376,3
410730,4,2.4841107692300004,0.09409538094252778,0.36155076923333346,0.1501565074175757,3
410730,5,2.224966153845,0.04934769230500002,0.17446153846000012,0.05283692308000009,2
410730,6,2.08656,0.032202998720584235,0.16238769230666694,0.07745581529487307,3
410730,7,2.0794153846125,0.047021538462500116,0.2741538461549998,0.11863384615499994,2
410730,8,1.9616123076925,0.0651323076925001,0.20470153845500005,0.08839384615500012,2
410730,9,1.9224000000000003,0.046168450610773674,0.2297353846133332,0.06432288256187065,3
410730,10,1.812007384617,0.0141195188273805,0.1621661538459999,0.027569124173781295,5
410730,11,1.6886215384625003,0.027364316072148676,0.16050461538500044,0.01001160226524009,4
410730,12,1.571616000001,0.01688652854563075,0.12109292307800007,0.03221527268278002,5
410730,13,1.570984615385,0.04768615384499997,0.19506461537999986,0.06480000000000008,2
410730,14,1.484484923077,0.013785923893556953,0.11404799999799983,0.026962095428806895,5
410730,15,1.4193415384624999,0.011835758395901466,0.12195692307833354,0.014645435017474569,6
410730,16,1.342323692308,0.01632561100914499,0.09663507692399978,0.02163381778728275,5
410730,17,1.2787938461533332,0.00681833379464971,0.10663384615555557,0.0194736942267616,9
410730,18,1.1948878321669092,0.01326577899399125,0.05673398601381821,0.028267686673252242,11
410730,19,1.1705538461537501,0.0110234864902251,0.08839384615250001,0.018811863814451622,4
410730,20,1.146993230768,0.009409414215540729,0.08267815384800015,0.019935802899340698,5
410730,21,1.1217600000008334,0.00958048193405112,0.08507076923166661,0.021763151876730228,6
410730,22,1.0670400000013334,0.004125742290920202,0.05436553846000001,0.004414376709058478,15
410730,23,1.04134153846,0.013783538418256181,0.05870769230666673,0.026808900050523107,3
410730,24,1.0022400000007727,0.004548655518601579,0.037943496504272686,0.0032859587505750794,11
410730,25,0.9695314285715715,0.005716252172288848,0.024210989011142887,0.011079319050336291,7
410730,26,0.9427569230769375,0.004970353222654992,0.03472615384612497,0.004379388903520031,8
410730,27,0.92448000000015,0.0067418343509125945,0.06686030769229999,0.015569662554189914,10
410730,28,0.9081969230769167,0.02051624381687723,0.0830769230765,0.039192777404730324,6
410730,29,0.8780898461535,0.012732459321237984,0.07257599999899995,0.02981701947316229,5
410730,30,0.8369723076924445,0.003917849911514629,0.041796923076888905,0.005040236680725944,9
410730,31,0.8394507692306875,0.013615267833361132,0.08399076923112501,0.02872627567131397,8
410730,32,0.8181415384616,0.015234414109374166,0.06460061538440001,0.02899079428505156,5
410730,33,0.7998646153846667,0.011862655439784578,0.053833846154,0.01960709254632427,3
410730,34,0.7893415384615,0.015629456032101738,0.061144615385000045,0.028042779154882784,3
410730,35,0.7625512087912857,0.004641962033496289,0.047377582417714295,0.011041147879863796,7
410730,36,0.7371913846153,0.0057534353123245485,0.031369846153799986,0.013820804364308475,5
410730,37,0.72650769230775,0.00942877328606802,0.03306461538449995,0.01517103811973092,4
410730,38,0.7102744615386,0.0058486153845789726,0.0301735384616,0.009607313663707968,5
410730,39,0.70457538461537506,0.006323130825305964,0.05034461538475002,0.011299683191843752,4
410730,40,0.7006153846155,0.012073846154000053,0.05649230769233334,0.02205281578445158,3
410730,41,0.683003076923,0.009510685115180289,0.049181538461333364,0.013380629645605947,3
410730,42,0.6598681318682144,0.006147035477630698,0.041016263736428596,0.013366249598552826,7
410730,43,0.65876676923085,0.018087852261433484,0.07696246153849998,0.03639220878190208,10
410730,44,0.6254505494506428,0.004792844805823967,0.042630329670428554,0.010934631446014873,7
410730,45,0.62274461538475,0.011738664379769625,0.05715692307699999,0.025684611652565192,4
410730,46,0.6126646153846667,0.01167867058975576,0.05383384615400004,0.021935664079035022,3
410730,47,0.5893809230769,0.003144831905847536,0.030705230769399995,0.00774865408587802,10
410730,48,0.58619076923075,0.012486399815568957,0.05117538461516663,0.024382720741700854,6
410730,49,0.5661692307692501,0.005458115008150503,0.04552615384600002,0.012732818626009293,8
410730,50,0.5561723076921666,0.008438114711210585,0.041870769231000006,0.017207421544525685,3
410730,51,0.548473846154,0.00784684883796348,0.041870769230499955,0.01680482770851774,4
410730,52,0.539113846154,0.004514712517182398,0.03544615384633335,0.009550851704650351,6
410730,53,0.5255446153846667,0.004026046322852267,0.027803076922999995,0.006979867990010052,6
410730,54,0.5265415384615,0.00598815019196222,0.04043076923066665,0.012444961281686285,6
410730,55,0.5048861538461666,0.0021748601260923616,0.021267692307666675,0.004433537596686611,9
410730,56,0.4998461538461667,0.0034120699091541944,0.027138461538333308,0.006767809641147816,6
410730,57,0.5047753846155,0.008642129914986151,0.04452923076899999,0.017386182638675796,3
410730,58,0.4992590769231,0.005499265612112089,0.04067446153859998,0.01161347637526584,5
410730,59,0.5005883076923,0.011750542846295104,0.051308307692199975,0.02523823871413427,5
410730,60,0.47399857988161537,0.0016744983869585743,0.022034556213076935,0.0025925091758679216,13
410730,61,0.45795020979022727,0.0016533340989503412,0.013473566433545435,0.003048405848446153,11
410730,62,0.45275076923072227,0.0024180387182044746,0.019052307692333348,0.00457652564529545,9
410730,63,0.443796923076875,0.0027091594426833813,0.014953846153750006,0.004956050018202918,8
410730,64,0.4342015384615625,0.0028874033120908026,0.01138153846162502,0.005358944522054454,8
410730,65,0.43299692307695453,0.0019567457368042415,0.018065454545363624,0.004095805878332498,11
