"run","station_id","Message","tt","cfmax","sfcf","cwh","cfr","fc","lp","beta","k0","k1","k2","uzl","perc","maxbas","R2V"
"run_01","410730","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.122008233643337","2.17645378924064","0.501116568303678","0.196024671747348","0.0400370076110931","549.999862052412","0.676911929520484","1.78786675897367","0.49999642578212","0.1693486631243","0.0566304468078242","57.3580146143501","2.64659040681087","1.71070257903073","0.77186284809308"
"run_01","410731","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.99978669717312","5.36412029713172","0.48355975519363","0.0783889369734076","0.0442048699203772","549.964004602173","0.509654091969914","2.74429518027359","0.446057156419079","0.39991956599499","0.149999465025028","48.613679719429","0.686755959143171","1.93424590223264","0.563113958822839"
"run_01","410734","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.60117837759178","9.99964524620171","1.20943763012312","0.0451794338504404","2.86478691089402e-05","349.089180734922","0.300077905032868","1.80089017691411","0.182632546798317","0.39999996000837","0.109625697945951","10.0071643368646","0.884143772730464","2.0760498791157","0.691330905259852"
"run_01","410705","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.99999272838202","4.75497400418243","1.58809725069792","0.0714632952805521","0.0323052005449676","232.062363127685","0.660652948425374","3.11676218353675","0.499999319990866","0.396880362305565","0.00100000313822675","10.0167834300249","0.347242956041995","2.31608925601341","0.659976119053539"
"run_01","410761","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.476831460083531","2.24043071892713","1.58654329740816","0.00771150258161207","0.0999915037307446","443.445636194373","0.300000664061979","1.70488779067453","0.0500167945886542","0.399998910079862","0.141849926219237","65.9884158955151","0.764423468971638","2.97634146949482","0.642591059289041"
"run_01","410033","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.80203689868395","1.09478060825507","1.27438232319479","0.139893667904602","0.04797454542612","549.999986298581","0.415661263804514","2.66686181045091","0.382850953075874","0.399999985895079","0.119908934285611","93.2734723111854","1.68648750653351","2.49603951448351","0.657909775282862"
"run_01","410047","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.511150694143589","1.10353352256992","0.870703565653349","0.199999890161957","0.00976776085244955","468.427925880276","0.528914691215876","2.51514565050964","0.369933154989982","0.367036042984096","0.092900792733533","10.000000007003","0.68036479474923","3.62752340238611","0.830058975781316"
"run_01","410061","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.253126929356164","9.80883752968864","1.59952886089312","0.157337023852799","2.11876070747516e-06","535.821830432811","0.526840404289286","2.05260758387545","0.49999201504137","0.290112055956761","0.00593473807102813","22.4471850365896","1.56149637475001","1.00521884732998","0.784578921540043"
"run_01","410088","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.00798005199426505","9.71802231375877","0.468602659837193","0.199999988121698","0.0999999606320349","540.557130868836","0.964552593181828","3.36409302351514","0.493891805777905","0.137139083837648","0.0219215805228144","34.5407036310557","1.20262074178402","1.7589799803072","0.613192353102432"
"run_01","410156","Change in solution over [tolsteps] less than specified tolerance (reltol).","0.499965881263117","5.64418858753666","1.45105012435752","0.108938043170209","0.0777095525281356","208.77290715611","0.680292758983361","4.27258686856526","0.499991220879183","0.398152656929436","0.0120304147091301","10.0000315125647","0.309231174669752","1.34974501482471","0.722170185715716"
"run_01","412029","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.99998642912808","6.09613146835841","1.06693604527758","0.199990262020317","0.0918119465512747","270.406718712289","0.95050487365713","5.99947968103242","0.480456818467058","0.399992069246868","0.0855677436482646","50.6726346584583","3.89955140005492e-06","1.96899812317176","0.625167007925971"
"run_01","412066","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.43165519995977","7.08852702796029","1.38461909001409","0.0019946933134728","0.0347283578538394","358.172052705855","0.793704868663409","3.95862813163325","0.499996431935697","0.380469291357821","0.122392627652518","10.0000071749319","0.318105790005804","2.13118654243876","0.727507942078451"
"run_01","416003","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.39422733774438","1.03260017896631","0.684862232023956","0.0401707623205226","0.0720510190878822","175.67613516065","0.90469332479415","5.99934296767231","0.499999989400102","0.399947573642671","0.146565610741254","10.0002084379579","1.9691356797029","1.77032031458944","0.792387674238721"
"run_01","422202B","Change in solution over [tolsteps] less than specified tolerance (reltol).","-1.70269624200507","5.78360401991544","1.52453358361952","0.0860007963275547","0.0562945396396151","179.429575103887","0.825434580720206","4.3634996940428","0.175431775367646","0.399999937752298","0.131402803632038","64.3559251662592","1.24440642596425e-05","3.06023452542194","0.855174090082672"
"run_01","422306A","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.739598258920985","3.15853136708427","1.59997740461178","0.00644092371649663","0.0563585875245175","228.76025273375","0.300224868617064","2.23920881116545","0.339920775631083","0.399995706630016","0.0897693277064141","10.0007029461064","0.202666331052822","1.23131395650456","0.816672166442377"
"run_01","422319B","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.530438831293998","6.88154797912272","1.59999659411085","1.20961364411489e-06","0.0981868834054851","93.5026626004861","0.435219671981797","4.66476518142334","0.499999790806925","0.393774553442105","0.0585349128537706","10.0000094018256","2.41033838975492","1.54320301328212","0.782882093065995"
"run_01","422321B","Change in solution over [tolsteps] less than specified tolerance (reltol).","-0.920032611930803","1.00524414899708","0.545782282710113","0.199688573287647","0.0268192966705526","342.964157863973","0.873821955367503","2.34367559367806","0.422155740526922","0.179237532347946","0.0262235792048823","13.8772971793926","2.6273686385239","1.03617502391827","0.852793272549397"
