station_id,silica_mean,silica_stdev,silica_min,silica_max
410730,71.46586608886719,2.352985143661499,68,80
410731,68.53697204589844,1.5568796396255493,49,80
410734,71.2562484741211,2.896761894226074,49,80
410705,69.3248291015625,4.747110843658447,49,88
410761,67.789886474609375,7.795030117034912,49,88
410033,69.05472564697266,7.656950950622559,49,88
410047,72.03468322753906,3.3968446254730225,49,73
410061,59.673770904541016,9.389524459838867,49,73
410088,69.21138763427734,4.194210052490234,42,80
410156,72.55097961425781,1.4295097589492798,68,73
412029,68.40296173095703,1.479504942893982,62,73
412066,69.55165100097656,7.708981513977051,49,80
416003,70.41510772705078,2.696009397506714,57,73
422202B,70.22496032714844,3.913177728652954,57,80
422306A,49,0,49,49
422319B,50.156978607177734,2.8137588500976562,49,57
422321B,49.464595794677734,2.9345264434814453,49,68
422334A,50.998329162597656,4.166553497314453,49,68
422338A,68.18904113769531,4.840736389160156,57,73
422394A,60.332027435302734,10.538859367370605,49,73
A4260533,67.5490951538086,3.714293956756592,62,80
401203,67.75142669677734,3.5310466289520264,49,73
401208,70.38346862792969,4.5302510261535645,57,73
401210,66.953857421875,4.111806869506836,57,73
401212,67.94469451904297,0.8123692870140076,57,73
401216,68.324554443359375,1.7705639600753784,57,73
401217,67.88795471191406,1.292029857635498,49,73
401220,67.22350311279297,5.016367435455322,57,73
402204,69.48362731933594,2.720586061477661,57,73
402206,67.70069885253906,1.7896097898483276,57,68
403214,69.3505859375,2.2201015949249268,68,73
403217,70.13128662109375,6.888089179992676,62,80
403221,70.90941619873047,3.142411708831787,57,73
403226,67.44584655761719,7.0433349609375,49,80
403232,67.36308288574219,2.569134473800659,57,68
404207,65.03501892089844,7.962733745574951,49,80
405205,68.17443084716797,0.9174611568450928,68,73
405209,67.86915588378906,6.718454837799072,57,80
405212,67.42333984375,4.914529323577881,49,73
405214,74.73356628417969,7.569002628326416,49,80
405215,69.48600769042969,8.850611686706543,49,80
405217,67.08839416503906,3.107577085494995,57,73
405219,70.82132720947266,5.957855701446533,49,80
405226,62.45022964477539,7.418774127960205,49,80
405227,72.07781982421875,3.3892300128936768,57,80
405228,72.69813537597656,1.190881609916687,68,73
405229,68.82764434814453,6.9769487380981445,57,80
405230,66.503936767578125,8.631548881530762,49,80
405231,68,0,68,68
405238,72.650909423828125,2.735326051712036,49,73
405240,66.7385025024414,8.345460891723633,49,73
405241,67.99046325683594,1.0369820594787598,57,73
405245,72.29492950439453,10.449910163879395,57,80
405248,67.75312042236328,6.8624043464660645,57,80
405251,72.042694091796875,3.794797420501709,57,73
405264,71.98634338378906,3.938671350479126,57,80
405274,68.52104187011719,7.155798435211182,57,73
406214,67.4628677368164,2.3706350326538086,57,68
406224,63.58742904663086,6.034693717956543,49,73
406226,68.67876434326172,7.365882873535156,49,80
406235,66.61363983154297,6.577575206756592,49,73
406250,59.749786376953125,9.101350784301758,49,68
407214,57.33852767944336,9.50186824798584,49,73
407253,64.7968521118164,5.298661231994629,49,73
408202,68.3699722290039,6.474653244018555,57,73
408206,66.48522186279297,7.688701152801514,57,73
415237,67.52544403076172,5.6178741455078125,57,73
415238,68.08649444580078,7.380619049072266,57,73
415245,67.84735107421875,6.618463516235352,57,73
