station_id,DEM_mean,DEM_stdev,DEM_min,DEM_max
"410730",1351.421875,198.152313232422,981.916687011719,1912.22595214844
"410731",1138.32531738281,201.357513427734,614.158020019531,1738.84399414062
"410734",1087.79565429688,133.391342163086,783.861572265625,1615.77197265625
"410705",862.537963867188,114.464599609375,675.845520019531,1358.59399414062
"410761",1034.28479003906,200.573974609375,585.57861328125,1869.71704101562
"401009",827.837036132812,222.572891235352,367.343414306641,1364.86999511719
"401012",1063.76440429688,308.908569335938,316.018005371094,2181.55102539062
"401013",485.850250244141,111.976928710938,219.806396484375,931.872924804688
"401015",284.785949707031,74.6020202636719,199.25390625,661.502014160156
"401016",733.56689453125,182.534973144531,312.813812255859,1298.49597167969
"401017",623.114013671875,43.5508155822754,507.184509277344,797.264587402344
"410024",1033.94067382812,258.240539550781,390.424194335938,1912.22595214844
"410026",651.450744628906,82.5036544799805,476.686096191406,941.684326171875
"410033",1192.4814453125,184.502548217773,742.916809082031,1869.71704101562
"410038",699.195434570312,166.250396728516,240.008804321289,1212.30102539062
"410044",404.382019042969,81.5838851928711,234.603607177734,733.866271972656
"410047",429.087005615234,167.9921875,189.490997314453,1068.39001464844
"410057",940.831604003906,257.338073730469,297.638305664062,1716.2060546875
"410061",641.481750488281,145.256866455078,349.660888671875,999.603210449219
"410062",1001.23046875,110.562057495117,725.869689941406,1236.06604003906
"410088",1213.53051757812,222.954040527344,635.359619140625,1912.22595214844
"410091",313.392028808594,100.626029968262,170.930297851562,888.641174316406
"410141",914.178894042969,169.02685546875,660.108276367188,1615.77197265625
"410156",366.434997558594,74.5029907226562,245.405700683594,700.765686035156
"411003",882.210571289062,99.8144912719727,726.546691894531,1185.42199707031
"412028",868.825134277344,143.8515625,421.348205566406,1326.46704101562
"412029",552.758056640625,69.8011779785156,324.572296142578,777.05517578125
"412050",814.103271484375,101.19660949707,468.127014160156,1039.97705078125
"412066",895.727355957031,130.272644042969,548.856079101562,1326.46704101562
"416003",890.097778320312,112.50902557373,649.210876464844,1324.88098144531
"416020",513.186889648438,77.021858215332,342.533111572266,698.9951171875
"416023",1028.7646484375,111.487548828125,771.8134765625,1508.19299316406
"416032",878.450500488281,201.712768554688,378.913787841797,1508.19299316406
"418005",860.953552246094,78.9571685791016,746.637329101562,1184.95104980469
"418014",1030.48864746094,139.554183959961,740.785583496094,1409.09301757812
"418015",577.005004882812,175.343704223633,276.5791015625,1456.77795410156
"418017",523.810668945312,117.041381835938,294.656890869141,806.984619140625
"418021",1100.17724609375,180.620941162109,677.879577636719,1400.5849609375
"418025",537.462158203125,107.378219604492,338.599487304688,845.584899902344
"418027",788.880981445312,212.202392578125,412.88720703125,1456.77795410156
"418032",419.356567382812,116.94310760498,247.584503173828,1299.18603515625
"419005",922.544128417969,211.603088378906,375.940002441406,1461.4150390625
"419010",1129.58288574219,95.5027694702148,890.095275878906,1461.4150390625
"419016",833.062683105469,179.741088867188,444.199798583984,1329.19201660156
"419029",713.415588378906,178.919570922852,386.130401611328,1229.26403808594
"419035",603.014831542969,125.061706542969,429.225006103516,1324.22399902344
"419054",849.960876464844,169.721389770508,469.695404052734,1243.89501953125
"420003",646.804565429688,122.724128723145,473.755187988281,1097.39501953125
"420017",563.437072753906,90.1927947998047,423.580596923828,1130.96704101562
"421018",609.992797851562,143.680313110352,314.518890380859,1395.60205078125
"421026",898.569641113281,121.453941345215,563.683715820312,1270.80200195312
"421042",517.114807128906,143.383834838867,321.25439453125,1214.26599121094
"421048",531.543823242188,86.1715698242188,379.575103759766,810.015686035156
"421050",746.350219726562,102.081199645996,528.698181152344,1016.19299316406
"421055",312.867858886719,30.5183410644531,251.320907592773,427.889312744141
422202B,348.935852050781,26.6060943603516,289.562103271484,476.992401123047
422306A,762.459045410156,122.63712310791,528.05029296875,1248.92504882812
422319B,640.371032714844,119.362022399902,458.593811035156,1123.14404296875
422321B,860.447631835938,111.041236877441,558.272827148438,1083.85998535156
422334A,539.377502441406,85.8319931030273,426.77978515625,978.841369628906
422338A,493.553649902344,49.7588233947754,406.789703369141,675.714599609375
422394A,654.118591308594,162.31005859375,478.859985351562,1380.43603515625
A4260533,280.182464599609,111.137641906738,50.1567916870117,528.769592285156
"401203",1096.76293945312,280.538208007812,545.010681152344,1982.65002441406
"401208",686.94091796875,161.935073852539,384.986297607422,1298.34094238281
"401210",854.868591308594,265.071838378906,316.069000244141,1945.55895996094
"401212",1080.71240234375,244.605072021484,493.333404541016,1763.0439453125
"401216",1250.10534667969,286.957305908203,686.642822265625,1982.65002441406
"401217",1031.25891113281,221.832778930664,494.670196533203,1751.17297363281
"401220",589.706115722656,215.321472167969,211.03630065918,1472.78894042969
"402204",506.703826904297,188.284271240234,217.007095336914,1161.63696289062
"402206",630.570617675781,191.968307495117,251.259292602539,1188.71105957031
"402217",546.774108886719,185.024108886719,313.613189697266,1161.63696289062
"403214",486.867370605469,181.238174438477,244.937698364258,1191.50305175781
"403217",657.85107421875,201.518051147461,314.473785400391,1619.31896972656
"403221",456.273773193359,118.598487854004,229.472198486328,899.656677246094
"403226",461.02783203125,176.169631958008,186.600997924805,849.961486816406
"403232",727.686401367188,199.765182495117,325.451507568359,1253.06896972656
"404207",486.588775634766,223.523361206055,173.919204711914,1132.10205078125
"405205",675.418762207031,133.599151611328,320.650512695312,1010.46197509766
"405209",604.980590820312,269.739440917969,205.510498046875,1489.73400878906
"405212",363.974426269531,129.985534667969,157.898193359375,794.484924316406
"405214",689.744812011719,294.834381103516,319.104187011719,1800.89599609375
