Station_Nu,pawc_mean
"215207",84.0907440185547
"216002",135.514923095703
"218001",111.03849029541
"219001",102.482757568359
"302214",112.368156433105
"222213",129.655136108398
225020A,139.019104003906
225110A,123.764595031738
229661A,137.647186279297
"231213",129.717620849609
"401203",138.329849243164
"401210",162.628387451172
"401217",176.562973022461
"405205",158.107818603516
"405209",145.683959960938
"405215",167.247817993164
"405264",174.211990356445
"408202",83.2690048217773
"410061",96.2800521850586
"410730",150.78791809082
"410731",108.232246398926
"410734",83.8157577514648
"412066",134.237258911133
"307473",145
"304499",106.424011230469
"305202",68.9907150268555
"314207",83.748893737793
"314213",87.0887603759766
"212209",124.037773132324
"212260",99.3206939697266
"221207",151.814743041992
"221210",104.071670532227
"222206",123.865104675293
"223202",107.386100769043
"224206",99.2232055664062
"225219",99.7347259521484
"226220",163.291717529297
"226222",162.953277587891
"226407",149.865798950195
"227226",159.816604614258
"230210",151.585708618164
"235205",127
"236213",120.840545654297
"238208",108.105262756348
"401208",124.847297668457
"401212",176.807205200195
"401216",158.661819458008
"402204",126.283744812012
"402206",170.437774658203
"402213",115.568344116211
"403214",129.582290649414
"403217",155.661636352539
"403221",129.675750732422
"403222",171.845016479492
"403226",125.901084899902
"403232",171.228927612305
"404207",126.371803283691
"405217",137.770416259766
"405218",166.239242553711
"405219",158.48681640625
"405226",78.0958938598633
"405227",163.673782348633
"405238",58.3547286987305
"405245",86.3101577758789
"405248",123.601287841797
"405251",108.560409545898
"405274",114.791732788086
"406208",159.243469238281
"406213",102.488929748535
"406214",73.4698486328125
"406224",81.9730606079102
"407214",113.846031188965
"407215",101.722450256348
"407230",100.684417724609
"407253",89.7332153320312
"408200",67.7748107910156
"415207",65.380615234375
"415237",68.7435607910156
"416003",92.6708602905273
"318076",81.5343627929688
