Station_Nu,RegolithDepth_mean
"215207",4.71998643875122
"216002",1.54585707187653
"218001",3.58930945396423
"219001",2.00053262710571
"302214",5.74466466903687
"222213",1.77056205272675
225020A,5.60207033157349
225110A,2.08527207374573
229661A,5.0979642868042
"231213",5.00350284576416
"401203",2.7260890007019
"401210",1.92228388786316
"401217",1.94389832019806
"405205",9.00172328948975
"405209",8.86212539672852
"405215",1.7486013174057
"405264",5.04402351379395
"408202",3.21771860122681
"410061",3.33912658691406
"410730",1.66887223720551
"410731",2.08881568908691
"410734",2.12099075317383
"412066",3.84380412101746
"307473",4.3169903755188
"304499",2.17818355560303
"305202",1.7140896320343
"314207",5.36439418792725
"314213",6.56094312667847
"212209",7.710768699646
"212260",2.51572751998901
"221207",5.27048683166504
"221210",2.98019742965698
"222206",2.44584226608276
"223202",2.18780827522278
"224206",2.6244113445282
"225219",2.73540616035461
"226220",10.1388578414917
"226222",10.9236688613892
"226407",5.6851224899292
"227226",5.42587900161743
"230210",5.91543054580688
"235205",3.82075762748718
"236213",6.86670017242432
"238208",5.31981563568115
"401208",2.15494275093079
"401212",2.21732115745544
"401216",2.19161224365234
"402204",2.19351172447205
"402206",1.52884614467621
"402213",2.22666358947754
"403214",3.30376124382019
"403217",4.67937850952148
"403221",3.21567797660828
"403222",2.16132593154907
"403226",4.44189167022705
"403232",1.41363847255707
"404207",7.12819671630859
"405217",8.19606018066406
"405218",1.90760552883148
"405219",1.65862333774567
"405226",23.9375476837158
"405227",3.98889231681824
"405238",2.44723463058472
"405245",8.98243808746338
"405248",5.92757844924927
"405251",3.326815366745
"405274",3.85212993621826
"406208",6.01517057418823
"406213",4.62908554077148
"406214",3.74372458457947
"406224",11.5923833847046
"407214",5.53974008560181
"407215",4.06103706359863
"407230",4.68474578857422
"407253",11.5572519302368
"408200",9.92512702941895
"415207",3.55552434921265
"415237",8.66985130310059
"416003",2.52786588668823
"318076",3.65696668624878
