Station_Nu,mean
215207,13.696419715881335
216002,13.399170589447031
218001,14.171046161651613
219001,14.25454721450805
302214,13.834367465972885
222213,14.09434809684753
225020A,14.127223157882685
225110A,13.883916568756085
229661A,14.113487672805759
231213,14.207087039947504
401203,13.88399081230164
401210,13.595075702667241
401217,13.788213396072395
405205,14.309808444976792
405209,14.063128709793075
405215,13.976497220993052
405264,14.141738128662121
408202,13.427830123901398
410061,14.343395805358877
410730,13.980783653259307
410731,14.18419818878175
410734,14.102502489089964
412066,13.524987649917596
307473,14.652842760086065
304499,16.08802995681765
305202,15.002594470977789
314207,16.06169347763061
314213,14.529731416702269
212209,14.297131538391096
212260,14.104553699493422
221207,13.863061046600347
221210,13.569633340835555
222206,13.740363502502461
223202,13.71701855659484
224206,13.77941575050354
225219,13.898514461517351
226220,15.4257905006409
226222,14.233192062377915
226407,14.347034454345696
227226,14.207507371902459
230210,14.484468460083018
235205,15.30281167030332
236213,14.18349409103396
238208,15.309825515747056
401208,13.528544569015533
401212,13.836241292953508
401216,14.011879396438594
402204,13.1284240245819
402206,13.336571836471563
402213,13.082565593719512
403214,13.299881029129029
403217,13.552698087692251
403221,13.06385803222659
403222,13.730197715759282
403226,12.92866382598879
403232,13.589170169830345
404207,13.013217687606804
405217,13.52231478691103
405218,13.981837892532354
405219,13.73696184158326
405226,12.753308582305895
405227,13.971127367019662
405238,12.641664648056054
405245,13.83722176551818
405248,12.9340614795685
405251,13.37705183029175
405274,12.657400321960443
406208,15.333210468292194
406213,14.253152751922617
406214,13.4113883972168
406224,12.351991462707488
407214,14.430126333236705
407215,13.854694414138786
407230,14.136705255508447
407253,12.790982484817516
408200,12.93540143966675
415207,13.304310941696158
415237,13.102752637863155
416003,13.761260509490969
318076,14.83659377098084
