Station_Nu,WoodyIntensity_mean
215207,37.39741516113301
216002,75.891372680664
218001,45.96105957031199
219001,70.229080200195
302214,55.64205932617199
222213,29.22944641113301
225020A,86.95065307617199
225110A,74.81787109375
229661A,79.815444946289
231213,64.18020629882801
401203,25.35173034668
401210,53.91618347168
401217,39.375259399414006
405205,59.970855712890994
405209,46.02828979492199
405215,55.45947265625
405264,77.45622253418
408202,18.748397827147997
410061,34.589050292969006
410730,37.96244812011699
410731,26.523742675780994
410734,36.80146789550801
412066,25.557647705077997
307473,43.80741882324199
304499,61.86289978027301
305202,69.777359008789
314207,54.58457946777301
314213,66.178451538086
212209,56.428283691405994
212260,52.706314086914006
221207,81.254791259766
221210,64.576080322266
222206,38.112457275390994
223202,29.784576416015994
224206,45.448425292969006
225219,50.165954589844006
226220,84.101638793945
226222,85.88752746582
226407,65.80555725097699
227226,44.00817871093801
230210,62.657409667969006
235205,77.444976806641
236213,15.447082519530994
238208,21.919921875
401208,52.80256652832
401212,51.25199890136699
401216,33.546234130859006
402204,27.87198638916
402206,51.97668457031199
402213,23.915969848632997
403214,27.717704772949006
403217,45.160629272460994
403221,20.34602355957
403222,50.456146240234006
403226,33.78309631347699
403232,54.063247680664006
404207,36.755706787109006
405217,43.98727416992199
405218,56.978912353515994
405219,55.15977478027301
405226,7.090705871582003
405227,71.460205078125
405238,15.482475280762003
405245,9.069206237792997
405248,24.02660369873
405251,43.410232543945
405274,19.542846679687997
406208,58.37324523925801
406213,18.908554077147997
406214,21.318771362305
406224,5.193374633789006
407214,20.094062805175994
407215,31.857116699219006
407230,21.199981689452997
407253,16.317596435547003
408200,11.779685974120994
415207,30.7353515625
415237,10.694709777832003
416003,29.578689575195
318076,52.56686401367199
