Station_Nu,mean,range
215207,693.863891601562,1400.54655456543
216002,315.777374267578,1117.44818496704
218001,1054.19689941406,367.507324218745
219001,1037.85205078125,427.087280273435
302214,108.066963195801,445.842926979065
222213,1066.48645019531,1455.91650390625
225020A,1208.55139160156,679.648925781245
225110A,820.631530761719,878.75207519531
229661A,708.757263183594,611.625457763668
231213,661.963562011719,450.502777099609
401203,1096.25756835938,1437.63903808594
401210,854.701904296875,1643.01202392578
401217,1031.17700195312,1256.50323486328
405205,675.224914550781,692.896667480465
405209,604.729614257812,1284.2230682373
405215,856.158874511719,1485.44320678711
405264,823.075744628906,1030.00216674804
408202,398.271362304688,509.565734863281
410061,641.997863769531,649.942352294922
410730,1351.27954101562,930.309631347661
410731,1138.36706542969,1124.68615722657
410734,1087.51135253906,830.851684570312
412066,895.835205078125,768.307189941401
307473,288.886444091797,1102.17016220093
304499,547.109252929688,1191.74249267578
305202,392.514709472656,640.599182128906
314207,554.777404785156,1302.93803405762
314213,179.944396972656,536.831363677979
212209,673.418762207031,313.066650390625
212260,901.872680664062,1199.91159057618
221207,693.200500488281,1079.91148376465
221210,480.928375244141,1037.86902618408
222206,893.212951660156,1750.85748291015
223202,815.232299804688,1274.24041748047
224206,913.899047851562,1440.37835693359
225219,1056.38977050781,1441.23822021484
226220,536.519958496094,888.199554443362
226222,481.34814453125,601.285736083984
226407,308.164184570312,412.322914123535
227226,211.597198486328,379.573986053467
230210,594.099731445312,250.953063964844
235205,458.883636474609,237.629760742187
236213,417.667022705078,366.220092773438
238208,494.971588134766,765.550354003904
401208,686.8564453125,913.35498046875
401212,1079.06127929688,1267.78280639649
401216,1248.21130371094,1296.00701904297
402204,506.212921142578,944.629943847659
402206,631.996887207031,967.101211547849
402213,485.147857666016,935.067764282229
403214,486.133666992188,946.56489562988
403217,658.002502441406,1239.71398925781
403221,455.884094238281,670.1845703125
403222,768.714538574219,1276.18237304688
403226,462.110168457031,663.360549926757
403232,728.312866210938,927.617218017581
404207,486.688568115234,958.183074951177
405217,452.669158935547,795.221054077145
405218,881.514526367188,1411.44778442383
405219,785.320495605469,1272.24374389649
405226,204.060546875,419.527488708496
405227,752.27587890625,1165.22485351562
405238,451.021545410156,526.098892211915
405245,405.399108886719,465.153869628907
405248,226.657897949219,436.125579833985
405251,546.382385253906,682.821380615234
405274,353.630462646484,461.916778564453
406208,678.671325683594,141.303649902344
406213,512.020141601562,783.040954589842
406214,276.513427734375,549.756576538086
406224,189.422454833984,285.570556640626
407214,458.839691162109,432.579010009765
407215,416.224151611328,643.105270385742
407230,400.505645751953,463.472549438477
407253,177.789138793945,320.137992858887
408200,253.577682495117,643.175216674804
415207,447.938934326172,700.705184936523
415237,265.914245605469,315.43815612793
416003,890.68212890625,675.670349121096
318076,675.625854492188,1250.51083374023
