Station_Nu,latitude,longitude,area,DEM_Mean,DEM_Range,Slope,StreamLength,StreamDensity,CatStorage,RegolithDepth,SoilDepth,Clay,KSat,AWC,PAWC,ForestCover,FoliageCover,Igneous,Sedimentary,Metamorphic,SedVolc,OldRock,UnconsolRock,Silica
410730,-35.5917,148.82125,130,1351.27954101562,930.309631347661,11.5576448,0.2780026,0.7689754,0,1.66887223720551,0.864343643188477,25.763288116455094,187.8937225,139.80783653259306,150.78791809082,97.9949653148651,37.96244812011699,61.429657,38.5703506,0,0,0,0,71.4723892211914
410731,-35.574851,149.06625,671.6,1138.36706542969,1124.68615722657,10.6036129,3.9351878,0.6454763,0.0465027,2.08881568908691,0.745160579681396,23.428823328018165,103.5399857,141.8419818878175,108.232246398926,86.5654110908508,26.523742675780994,90.2616806,9.4257669,0.3125268,0,0,0,68.5375747680664
410734,-35.61375,149.3498186,563.7,1087.51135253906,830.851684570312,6.0165858,0.9142387,0.6272095,0.1833038,2.12099075317383,0.729335606098175,24.454717922210694,95.2220535,141.02502489089966,83.8157577514648,89.5177245140076,36.80146789550801,38.7738724,61.2261772,0,0,0,0,71.26366424560547
212209,-34.476507,150.53375,67.4,673.418762207031,313.066650390625,4.0805464,3.6495142,0.6481268,1.7007775,7.710768699646,0.966323912143707,30.422707176208487,198.6301422,142.97131538391096,124.037773132324,100,56.428283691405994,25.2892799,74.7047882,0,0,0,0,65.178802490234375
212260,-33.94734,150.24375,713,901.872680664062,1199.91159057618,10.500864,1.000367,0.8255581,0.0267818,2.51572751998901,0.77704644203186,25.621369171142593,141.4937744,141.04553699493422,99.3206939697266,96.11045122146609,52.706314086914006,20.8774319,72.7121113,0,6.1088891,0,0.3014104,72.58995819091797
215207,-34.8217,150.1833,4660,693.863891601562,1400.54655456543,4.4654427,0.9128297,0.7420399,3.1681583,4.71998643875122,0.829705655574799,26.274871683120733,96.5101929,136.96419715881336,84.0907440185547,86.3745272159576,37.39741516113301,35.411747,50.1928664,0,2.5612946,0,11.8336782,71.02394104003906
216002,-35.4681,150.23625,859,315.777374267578,1117.44818496704,10.6359653,1.2729911,0.8058134,0.3477041,1.54585707187653,0.885625839233398,22.448413705825825,142.6996765,133.99170589447033,135.514923095703,100,75.891372680664,3.4959958,96.5040054,0,0,0,0,73.98821258544922
218001,-36.26465,149.51035,90.6,1054.19689941406,367.507324218745,5.4021931,4.628808,0.7938196,1.2852256,3.58930945396423,0.831953346729279,24.985613489151007,100,141.71046161651614,111.03849029541,99.40007925033571,45.96105957031199,52.9208717,47.0791206,0,0,0,0,68.78433990478516
219001,-36.59315,149.44185,14.4,1037.85205078125,427.087280273435,6.2987785,2.7682824,0.7017229,0,2.00053262710571,0.801463961601257,25.182564496994008,100,142.54547214508048,102.482757568359,100,70.229080200195,96.2054825,3.7945259,0,0,0,0,60.98694610595703
410061,-35.33165,148.06915,146.1,641.997863769531,649.942352294922,6.7759142,1.8590307,0.8670747,0.0426682,3.33912658691406,1.01318180561066,31.844681835174576,174.001709,143.43395805358878,96.2800521850586,76.5799760818481,34.589050292969006,56.3561249,0,43.643856,0,0,0,59.70841598510742
412066,-34.1128,149.5978,1630,895.835205078125,768.307189941401,4.4820433,1.5908242,0.9068342,1.111109,3.84380412101746,0.795543372631073,26.952237367630005,148.2592316,135.24987649917597,134.237258911133,69.32364106178281,25.557647705077997,31.6463089,65.0775223,0,1.7878559,0,1.488366,69.55280303955078
