Number,latitude,longitude,area,DEM_Mean,DEM_Range,Slope,StreamLength,StreamDensity,CatStorage,RegolithDepth,SoilDepth,Clay,KSat,AWC,PAWC,ForestCover,FoliageCover,Igneous,Sedimentary,Metamorphic,SedVolc,OldRock,UnconsolRock,Silica,Qcv,P,Q,PET,AET,P/PET,Q/P,BFI,AR1
410730,-35.5917,148.82125,130,1351.27954101562,930.309631347661,11.5576448,0.2780026,0.7689754,0,1.66887223720551,0.864343643188477,25.763288116455094,187.8937225,139.80783653259306,150.78791809082,97.9949653148651,37.96244812011699,61.429657,38.5703506,0,0,0,0,71.4723892211914,20109.012578264792,1088.6002529958162,274.2367084563899,932.3851133672382,575.5605794633908,1.1675435797815548,0.2519168149205307,0.6197136316860068,0.8632492919261615
410731,-35.574851,149.06625,671.6,1138.36706542969,1124.68615722657,10.6036129,3.9351878,0.6454763,0.0465027,2.08881568908691,0.745160579681396,23.428823328018165,103.5399857,141.8419818878175,108.232246398926,86.5654110908508,26.523742675780994,90.2616806,9.4257669,0.3125268,0,0,0,68.5375747680664,2411.3176914299875,846.9173657509753,60.93686861124244,972.9931496855518,589.3665476532311,0.870424797980005,0.07195137456794115,0.4189257627660018,0.6610346840395819
410734,-35.61375,149.3498186,563.7,1087.51135253906,830.851684570312,6.0165858,0.9142387,0.6272095,0.1833038,2.12099075317383,0.729335606098175,24.454717922210694,95.2220535,141.02502489089966,83.8157577514648,89.5177245140076,36.80146789550801,38.7738724,61.2261772,0,0,0,0,71.26366424560547,2873.7360816695777,777.4711947672649,63.46492781779762,957.1028549734434,562.2509977335428,0.8123172872458283,0.08162994107684693,0.39066343563052075,0.6535279377491824
212209,-34.476507,150.53375,67.4,673.418762207031,313.066650390625,4.0805464,3.6495142,0.6481268,1.7007775,7.710768699646,0.966323912143707,30.422707176208487,198.6301422,142.97131538391096,124.037773132324,100,56.428283691405994,25.2892799,74.7047882,0,0,0,0,65.178802490234375,125095.71033682096,1221.9011433099056,552.4903695036642,1013.8295978744637,682.6008796969511,1.2052332520885882,0.4521563569431397,0.5511058493231984,0.5851324502625002
215207,-34.8217,150.1833,4660,693.863891601562,1400.54655456543,4.4654427,0.9128297,0.7420399,3.1681583,4.71998643875122,0.829705655574799,26.274871683120733,96.5101929,136.96419715881336,84.0907440185547,86.3745272159576,37.39741516113301,35.411747,50.1928664,0,2.5612946,0,11.8336782,71.02394104003906,5823.041237371676,742.2279315267301,96.39751643641733,1009.7809371607799,594.3338518613107,0.7350385655067587,0.1298758943740259,0.2451974641631109,0.6765944430416766
216002,-35.4681,150.23625,859,315.777374267578,1117.44818496704,10.6359653,1.2729911,0.8058134,0.3477041,1.54585707187653,0.885625839233398,22.448413705825825,142.6996765,133.99170589447033,135.514923095703,100,75.891372680664,3.4959958,96.5040054,0,0,0,0,73.98821258544922,36356.473324714854,1021.0662175982653,268.2014241360546,996.5021161912457,572.1793349174718,1.0246503253810506,0.26266800283228786,0.15176362092945206,0.5206997476655862
218001,-36.26465,149.51035,90.6,1054.19689941406,367.507324218745,5.4021931,4.628808,0.7938196,1.2852256,3.58930945396423,0.831953346729279,24.985613489151007,100,141.71046161651614,111.03849029541,99.40007925033571,45.96105957031199,52.9208717,47.0791206,0,0,0,0,68.78433990478516,26686.661755535122,824.0273604335852,224.11201096140363,924.6327057755716,617.9442883541194,0.8911942604738389,0.271971565171672,0.33762490449146587,0.5565326688452984
219001,-36.59315,149.44185,14.4,1037.85205078125,427.087280273435,6.2987785,2.7682824,0.7017229,0,2.00053262710571,0.801463961601257,25.182564496994008,100,142.54547214508048,102.482757568359,100,70.229080200195,96.2054825,3.7945259,0,0,0,0,60.98694610595703,59911.110417195014,841.2980780633037,309.2936814112481,935.6011738131101,693.6917266965555,0.8992058813207049,0.3676386401871409,0.4910441736946491,0.5434007672129672
410061,-35.33165,148.06915,146.1,641.997863769531,649.942352294922,6.7759142,1.8590307,0.8670747,0.0426682,3.33912658691406,1.01318180561066,31.844681835174576,174.001709,143.43395805358878,96.2800521850586,76.5799760818481,34.589050292969006,56.3561249,0,43.643856,0,0,0,59.70841598510742,12277.479626416261,1000.6920423058472,187.33172753059452,1091.1365971699288,594.1295139321653,0.9171097779153712,0.18720217570525985,0.5810963921241232,0.4901859556701763
412066,-34.1128,149.5978,1630,895.835205078125,768.307189941401,4.4820433,1.5908242,0.9068342,1.111109,3.84380412101746,0.795543372631073,26.952237367630005,148.2592316,135.24987649917597,134.237258911133,69.32364106178281,25.557647705077997,31.6463089,65.0775223,0,1.7878559,0,1.488366,69.55280303955078,6384.608783498806,752.824958749857,73.33958976947922,1045.6356860621056,625.709617392415,0.7199686934796743,0.09741917947469106,0.28381774115131986,0.6741770722919254
416003,-29.02915,151.72665,552.6,890.68212890625,675.670349121096,4.8385625,7.6369724,0.8977472,2.3654778,2.52786588668823,0.73584920167923,26.254220581054682,119.1534424,137.6126050949097,92.6708602905273,85.0574731826782,29.578689575195,95.6685638,4.3315043,0,0,0,0,70.42053985595703,3969.2939707095447,796.2002910903434,55.918607849626376,1176.772929433152,672.1614293344714,0.6765963689136447,0.07023183547578155,0.172383529976167,0.4675288938860822
