station_id,stream_name,Area,Slope,Relief,PVB,SnowQ,StreamDensity,StreamLength,Unconsolidated,Igneous,SilicSed,CarbonateSed,OtherSed,Metamorphic,SedVolc,OldRock,elev_mean,elev_range,clay,woody_cover,woody_intensity,Silica,soil_depth,regolith_depth,Qcv,P,Q,PET,AET,P/PET,Q/P,BFI,AR1
410730,Cotter River,146.51840209960938,11.557644844055176,0.38863837718963623,0,55.66750717163086,0.7689753770828247,0.2780025601387024,0,61.429656982421875,38.570350646972656,0,0,0,0,0,1351.421875,930.309265136721,25.779083156585703,97.88376688957214,37.94592022895813,71.46586608886719,0.8644177317619324,1.6695618629455566,0.5170943413681446,1050.1213463683935,274.2367084563899,1371.541896433666,889.6086599365391,0.7656502138935442,0.2611476372752305,0.6197136316860068,0.8632492919261615
410731,Gudgenby River,673.4910888671875,10.603612899780272,0.46725788712501526,0.0465027242898941,17.56578826904297,0.6454763412475586,3.935187816619873,0,90.26168060302734,9.425766944885254,0,0,0.31252679228782654,0,0,1138.32531738281,1124.685974121089,23.42864809036255,86.54311895370483,26.522991061210632,68.53697204589844,0.7451699376106262,2.0891995429992676,0.8058367753510104,825.0959295104727,60.93686861124244,1411.153864856424,882.077369417096,0.584695935757807,0.07385428340119933,0.4189257627660018,0.6610346840395819
410734,Queanbeyan River,564.12933349609375,6.016585826873779,0.3947021961212158,0.18330377340316772,2.9735591411590576,0.627209484577179,0.914238691329956,0,38.77387237548828,61.22617721557617,0,0,0,0,0,1087.79565429688,831.910400390625,24.45753293037415,89.52605724334717,36.82129979133606,71.2562484741211,0.7293660640716553,2.1214406490325928,0.8446750185058001,764.6956503851079,63.46492781779762,1367.4117360049281,889.3242488709695,0.5592285266025769,0.08299370839344528,0.3906634356305207,0.6535279377491824
410705,Molonglo River,512.35906982421875,4.3211212158203125,0.3122243583202362,2.655625581741333,0,0.6720167398452759,2.898143768310547,7.953151226043701,25.542253494262695,66.12370300292969,0,0,0.38094496726989746,0,0,862.537963867188,682.748474121089,26.75776853561403,65.7427191734314,24.21034872531891,69.3248291015625,0.7680540084838867,4.393212795257568,0.9990305848930069,684.3301436623341,46.059411555733874,1456.224143025793,889.1443018050949,0.4699346230041271,0.06730583473824114,0.18974609301977466,0.5730361540538876
410761,Murrumbidgee River,5157.9638671875,5.228294849395752,0.35089313983917236,0.8860675692558289,20.165767669677734,0.7245562672615051,3.63420295715332,3.410247802734375,50.8826904296875,36.55934143066406,0,0.33717963099479675,6.625720024108887,1.7902642488479614,0,1034.28479003906,1284.13842773437,25.827115345001225,70.41925191879272,25.226694345474243,67.789886474609375,0.749843955039978,3.1107993125915527,0.8547609436017543,711.0255652650502,48.62974681311746,1398.11398677086,872.5296945325259,0.5085605122278072,0.06839380915226256,0.3959537012496104,0.6780903475619517
410033,Murrumbidgee River,1898.01123046875,5.391110897064209,0.3991699814796448,0.9521992802619934,30.318471908569336,0.754928708076477,0.9132412672042848,3.1774144172668457,36.95854949951172,46.93571472167969,0,0.6411564350128174,6.349432468414307,4.865155220031738,0,1192.4814453125,1126.800231933589,27.84264755249021,76.85311436653137,28.9908230304718,69.05472564697266,0.8119316697120667,3.103600025177002,0.6395696055593507,858.3491516231445,57.93290311548653,1379.7097004619138,881.5997830156623,0.6221230098880781,0.06749340056541675,0.5348801476078968,0.7885577974712054
410047,Tarcutta Creek,1653.0887451171875,4.0735931396484375,0.2724452316761017,1.8861489295959473,0,0.9860179424285888,1.2680566310882568,10.57654857635498,18.841943740844727,70.58135986328125,0,0,0,0,0,429.087005615234,878.899017333987,28.563385009765632,61.769187450408936,25.0346839427948,72.03468322753906,0.930183172225952,2.9027438163757324,0.8207918555132925,784.9452391086862,77.8579452256482,1740.960317591963,850.3475580415785,0.45086911584199446,0.09918901516500275,0.47983193583812417,0.7803256258008122
410061,Adelong Creek,147.73609924316406,6.775914192199707,0.44774648547172546,0.04266824200749397,0,0.8670746684074402,1.8590307235717771,0,56.35612487792969,0,0,0,43.643856048583984,0,0,641.481750488281,649.942321777344,31.82887296676636,76.35487914085388,34.54951047897339,59.673770904541016,1.0129897594451904,3.3174476623535156,0.5914843701262188,1016.1989410904316,187.33172753059452,1623.2465308386704,887.6247629754246,0.6260287157770175,0.18434552522715517,0.5810963921241232,0.4901859556701763
410088,Goodradigbee River,438.427001953125,10.179086685180664,0.4590503573417664,0.05732575803995132,24.836145401000977,0.7399434447288513,2.2683959007263184,0.2855285406112671,63.4981803894043,28.145111083984375,4.695072174072266,0,0,3.3760714530944824,0,1213.53051757812,1276.866333007815,28.245993137359637,99.94851350784302,46.20358943939209,69.21138763427734,0.925994634628296,1.9231780767440796,0.5158409898457877,1134.484939066855,319.9178395628173,1407.7205385142358,892.0295174251343,0.8059021006145407,0.281993906261954,0.6084664476056476,0.7118535842602596
410156,Kyeamba Creek,146.10275268554688,3.873533964157105,0.2704868018627167,1.8533223867416384,0,0.9739408493041992,1.302901029586792,21.003501892089844,50.96120834350586,28.03527450561523,0,0,0,0,0,366.434997558594,455.3599853515621,27.390083980560313,30.7254821062088,8.203236758708954,72.55097961425781,0.8614915013313293,4.6107892990112305,1.1607873784069707,703.0050349644791,64.06159390547963,1803.0931053457589,823.7348199868135,0.3898883717541983,0.09112536997507632,0.2498305802487426,0.395094972219574
