#,Australian Bureau of Meteorology,,,,,
#,Hydrologic Reference Stations,,,,,
#,,,,,,
#,Dataset version:  May 2020,,,,,
#,,,,,,
#,For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv,,,,,
#,,,,,,
#,For more information see http://www.bom.gov.au/water/hrs,,,,,
#,,,,,,
#,For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml,,,,,
#,,,,,,
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data owner code
136202D,Barambah Creek at Litzows,-26.301221,152.043779,QLD,646.6,w00066
136203A,Barker Creek at Brooklands,-26.73635469,151.8136453,QLD,312.9,w00066
136208A,Boonara Creek at Ettiewyn,-25.902786,151.84375,QLD,1399,w00066
137101A,Gregory River at Burrum Highway,-25.0866455,152.2408545,QLD,453.2,w00066
137201A,Isis River at Bruce Highway,-25.2662455,152.3687455,QLD,449.3,w00066
138004B,Munna Creek at Marodian,-25.903597,152.348597,QLD,1190,w00066
138009A,Tinana Creek at Tagigan Road,-26.07875,152.7838197,QLD,101.8,w00066
138010A,Wide Bay Creek at Kilkivan,-26.079414,152.22125,QLD,352.8,w00066
138113A,Kandanga Creek at Hygait,-26.389788,152.644788,QLD,171.3,w00066
143009A,Brisbane River at Gregors Creek,-26.99638563,152.40875,QLD,3876,w00066
143110A,Bremer River at Adams Bridge,-27.82773252,152.51125,QLD,126.5,w00066
143303A,Stanley River at Peachester,-26.83875,152.8403,QLD,101.7,w00066
145010A,Running Creek at 5.8KM Deickmans Bridge,-28.24625,152.89125,QLD,129,w00066
145011A,Teviot Brook at Croftby,-28.147989,152.57125,QLD,85.1,w00066
145018A,Burnett Creek at Up Stream Maroon Dam,-28.219112,152.608388,QLD,82.4,w00066
145101D,Albert River at Lumeah Number 2,-28.05297,153.04547,QLD,165.9,w00066
145107A,Canungra Creek at Main Rd Bridge,-27.99625,153.15875,QLD,102.3,w00066
146010A,Coomera River at Army Camp,-28.0256055,153.1931055,QLD,96.6,w00066
146012A,Currumbin Creek at Nicolls Bridge,-28.17875,153.423012,QLD,29,w00066
146014A,Back Creek at Beechmont,-28.122867,153.189633,QLD,6.6,w00066
146095A,Tallebudgera Creek at Tallebudgera Ck Rd,-28.149219,153.40375,QLD,55.8,w00066
422202B,Dogwood Creek at Gilweir,-26.70904167,150.1790417,QLD,2882,w00066
422306A,Swan Creek at Swanfels,-28.1643325,152.2831675,QLD,82.6,w00066
422313B,Emu Creek at Emu Vale,-28.2283335,152.2266665,QLD,153.1,w00066
422319B,Dalrymple Creek at Allora,-28.03625,152.014256,QLD,255.5,w00066
422321B,Spring Creek at Killarney,-28.35375,152.333067,QLD,31.6,w00066
422334A,Kings Creek at Aides Bridge,-27.92625,151.8624333,QLD,648.1,w00066
422394A,Condamine River at Elbow Valley,-28.371363,152.141363,QLD,328.4,w00066
424201A,Paroo River at Caiwarro,-28.689072,144.785928,QLD,22885,w00066
912101A,Gregory River at Gregory Downs,-18.6429,139.2521,QLD,12652,w00066
912105A,Gregory River at Riversleigh No.2,-18.97125,138.803403,QLD,11440,w00066
915011A,Porcupine Creek at Mt Emu Plains,-20.1775,144.52375,QLD,552.3,w00066
